iso_code,year,model_fuel,generation_twh,capacity_gw,emissions_mtco2,irena_capacity_gw,irena_generation_twh,r10
ABW,2008,hydro,0.0,0.0,0.0,0.0,0.0,R10LATIN_AM
ABW,2008,nuclear,0.0,0.0,0.0,0.0,0.0,R10LATIN_AM
ABW,2008,oil,0.91,0.21,0.6,0.206,0.913607,R10LATIN_AM
ABW,2008,solar,0.0,0.0,0.0,0.0,0.0,R10LATIN_AM
ABW,2008,windon,0.0,0.0,0.0,0.0,0.0,R10LATIN_AM
ABW,2009,bioenergy,0.0,0.0,0.0,0.0,0.0,R10LATIN_AM
ABW,2009,coal,0.0,0.0,0.0,0.0,0.0,R10LATIN_AM
ABW,2009,gas,0.0,0.0,0.0,0.0,0.0,R10LATIN_AM
ABW,2009,hydro,0.0,0.0,0.0,0.0,0.0,R10LATIN_AM
ABW,2009,nuclear,0.0,0.0,0.0,0.0,0.0,R10LATIN_AM
ABW,2009,oil,0.92,0.21,0.61,0.206,0.9076799999999999,R10LATIN_AM
ABW,2009,solar,0.0,0.0,0.0,0.0,0.0,R10LATIN_AM
ABW,2009,windon,0.03,0.03,0.0,0.03,0.016638,R10LATIN_AM
ABW,2010,bioenergy,0.0,0.0,0.0,0.0,0.0,R10LATIN_AM
ABW,2010,coal,0.0,0.0,0.0,0.0,0.0,R10LATIN_AM
ABW,2010,gas,0.0,0.0,0.0,0.0,0.0,R10LATIN_AM
ABW,2010,hydro,0.0,0.0,0.0,0.0,0.0,R10LATIN_AM
ABW,2010,nuclear,0.0,0.0,0.0,0.0,0.0,R10LATIN_AM
ABW,2010,oil,0.83,0.21,0.55,0.206,0.8339930000000001,R10LATIN_AM
ABW,2010,solar,0.0,0.0,0.0,0.0001,8.8e-05,R10LATIN_AM
ABW,2010,windon,0.11,0.03,0.0,0.03,0.106159,R10LATIN_AM
ABW,2011,bioenergy,0.0,0.0,0.0,0.0,0.0,R10LATIN_AM
ABW,2011,coal,0.0,0.0,0.0,0.0,0.0,R10LATIN_AM
ABW,2011,gas,0.0,0.0,0.0,0.0,0.0,R10LATIN_AM
ABW,2011,hydro,0.0,0.0,0.0,0.0,0.0,R10LATIN_AM
ABW,2011,nuclear,0.0,0.0,0.0,0.0,0.0,R10LATIN_AM
ABW,2011,oil,0.82,0.21,0.54,0.206,0.817889,R10LATIN_AM
ABW,2011,solar,0.0,0.0,0.0,0.0003,0.00035099999999999997,R10LATIN_AM
ABW,2011,windon,0.11,0.03,0.0,0.03,0.11223699999999999,R10LATIN_AM
ABW,2012,bioenergy,0.0,0.0,0.0,0.0,0.0,R10LATIN_AM
ABW,2012,coal,0.0,0.0,0.0,0.0,0.0,R10LATIN_AM
ABW,2012,gas,0.0,0.0,0.0,0.0,0.0,R10LATIN_AM
ABW,2012,hydro,0.0,0.0,0.0,0.0,0.0,R10LATIN_AM
ABW,2012,nuclear,0.0,0.0,0.0,0.0,0.0,R10LATIN_AM
ABW,2012,oil,0.78,0.25,0.51,0.2512,0.779122,R10LATIN_AM
ABW,2012,solar,0.0,0.0,0.0,0.001,0.001141,R10LATIN_AM
ABW,2012,windon,0.14,0.03,0.0,0.03,0.134199,R10LATIN_AM
ABW,2013,bioenergy,0.0,0.0,0.0,0.0,0.0,R10LATIN_AM
ABW,2013,coal,0.0,0.0,0.0,0.0,0.0,R10LATIN_AM
ABW,2013,gas,0.0,0.0,0.0,0.0,0.0,R10LATIN_AM
ABW,2013,hydro,0.0,0.0,0.0,0.0,0.0,R10LATIN_AM
ABW,2013,nuclear,0.0,0.0,0.0,0.0,0.0,R10LATIN_AM
ABW,2013,oil,0.79,0.25,0.52,0.2512,0.7768039999999999,R10LATIN_AM
ABW,2013,solar,0.0,0.0,0.0,0.0016,0.002283,R10LATIN_AM
ABW,2013,windon,0.15,0.03,0.0,0.03,0.148994,R10LATIN_AM
ABW,2014,bioenergy,0.0,0.0,0.0,0.002,0.0,R10LATIN_AM
ABW,2014,coal,0.0,0.0,0.0,0.0,0.0,R10LATIN_AM
ABW,2014,gas,0.0,0.0,0.0,0.0,0.0,R10LATIN_AM
ABW,2014,hydro,0.0,0.0,0.0,0.0,0.0,R10LATIN_AM
ABW,2014,nuclear,0.0,0.0,0.0,0.0,0.0,R10LATIN_AM
ABW,2014,oil,0.78,0.25,0.51,0.2512,0.755257,R10LATIN_AM
